Adam,Suliński,19
Janusz,Korytkowski,23
Krzysztof,Kierzkowski,47
Anna,Magiera,53
Jolanta,Wrzesień,53
Marek,Smolarczyk,30
Tomasz,Mierzwiński,44
Piotr,Szymanek,49
Anna,Wasik,37
Jolanta,Paszkiewicz,30
Ewelina,Kolenda,18
Daniel,Pogorzelski,52
Mateusz,Skierski,61
Ryszard,Gliniecki,68
Jacek,Kuczewski,61
Magdalena,Gołda,66
Edward,Żurawski,25
Bogusław,Springer,38
Cezary,Sas,46
Dominik,Czerniawski,28
Eugeniusz,Siczek,27
Honorata,Jóźwik,24
Przemysław,Trębacz,63
Jacek,Rudy,38
Ilona,Zaczek,69
Katarzyna,Rybus,24
Leon,Krzemiński,26
Monika,Postek,57
Natalia,Głodek,21
Paweł,Bidziński,62
Grzegorz,Wydrzyński,62
Oliwia,Matczak,68
Adam,Marciniak,27
Janusz,Szczecina,29
Krzysztof,Dyduch,34
Anna,Dul,50
Jolanta,Karaszewski,57
Marek,Łada,26
Tomasz,Stasiewicz,63
Piotr,Salwa,62
Anna,Młynarczyk,32
Jolanta,Maciąg,30
Ewelina,Jatczak,49
Daniel,Niemiec,51
Mateusz,Leszek,57
Andrzej,Dworzyński,41
Jacek,Latała,36
Magdalena,Szafranek,55
Edward,Stypułkowski,24
Bogusław,Sołtys,58
Cezary,Stach,47
Dominik,Gładysz,44
Eugeniusz,Moroz,20
Honorata,Jesionek,56
Przemysław,Głód,31
Jacek,Kulak,48
Ilona,Wojcieszak,17
Katarzyna,Małkowski,25
Leon,Tchórzewski,32
Monika,Sieczka,63
Natalia,Gołębiewski,58
Paweł,Banasiewicz,61
Grzegorz,Fil,65
Oliwia,Sobecki,60
Anna,Kozik,33
Jolanta,Wołyniec,50
Marek,Zuber,28
Tomasz,Woźnicki,70
Piotr,Skibiński,45
Anna,Kuźniewski,61
Jolanta,Cebulski,36
Ewelina,Jachym,50
Daniel,Marcinowski,67
Mateusz,Pęcak,32
Andrzej,Kukliński,35
Jacek,Małecki,32
Magdalena,Drogosz,62
Edward,Grzenkowicz,26
Bogusław,Szymura,56
Cezary,Karcz,58
Dominik,Biedrzycki,41
Eugeniusz,Suszek,35
Honorata,Gwiazda,22
Przemysław,Filipiak,44
Jacek,Frączyk,43
Ilona,Tomczak,26
Katarzyna,Luty,57
Leon,Skrzypczyk,63
Monika,Janus,59
Natalia,Bochenek,22
Paweł,Piekarz,32
Grzegorz,Krzesiński,37
Oliwia,Ciach,49
Adam,Oleksy,56
Janusz,Stasiński,49
Krzysztof,Mędrek,38
Anna,Borek,69
Jolanta,Malewski,52
Marek,Drzyzga,67
Tomasz,Ceglarek,30
Piotr,Bobowski,53
Anna,Sobieszek,39
Jolanta,Majczak,46
Ewelina,Tomiak,22
Daniel,Kudelski,43
Mateusz,Makuch,40
Andrzej,Olech,28
Jacek,Wojtkowski,55
Magdalena,Zamorski,27
Edward,Kruszyna,43
Bogusław,Marciniuk,23
Cezary,Kośmider,64
Dominik,Wiktorski,40
Eugeniusz,Pieczyński,36
Honorata,Pawełczyk,69
Przemysław,Rykaczewski,37
Jacek,Fijał,60
Ilona,Chojecki,60
Katarzyna,Węgrzynowski,54
Leon,Piwoński,68
Monika,Nowakowski,35
Natalia,Nosal,40
Paweł,Psiuk,57
Grzegorz,Gnatowski,62
Oliwia,Tomiczek,58
Anna,Starzyński,59
Jolanta,Miecznikowski,37
Marek,Huk,65
Tomasz,Sobik,44
Piotr,Siwek,41
Anna,Grobelna,20
Jolanta,Ponikowski,59
Ewelina,Gębski,65
Daniel,Kamieński,67
Mateusz,Orczyk,22
Andrzej,Jaroń,25
Jacek,Kozera,70
Magdalena,Mielewczyk,53
Edward,Zaremba,28
Bogusław,Buczyński,40
Cezary,Dmochowski,56
Dominik,Smyczek,61
Eugeniusz,Ziółek,27
Honorata,Cwynar,57
Przemysław,Oczkowski,34
Jacek,Kamola,33
Ilona,Kościański,62
Katarzyna,Miler,42
Leon,Zdeb,44
Monika,Barański,42
Natalia,Chrostowski,54
Paweł,Samsel,61
Grzegorz,Ignatowski,42
Oliwia,Główka,62
Adam,Patyk,37
Janusz,Godula,57
Krzysztof,Szulczewski,38
Anna,Supiński,69
Jolanta,Jeż,59
Marek,Bojar,54
Tomasz,Przybyłek,26
Piotr,Śmiech,40
Anna,Kubicki,20
Jolanta,Gawroński,42
Ewelina,Czapka,54
Daniel,Chołuj,51
Mateusz,Mularczyk,69
Andrzej,Czernicki,57
Jacek,Nieć,62
Magdalena,Szustak,31
Edward,Siemaszko,34
Bogusław,Sałaciński,62
Cezary,Fabiś,53
Dominik,Gralak,43
Eugeniusz,Kocot,25
Honorata,Anioł,52
Przemysław,Gregorczyk,30
Jacek,Kołodziejski,68
Ilona,Jasiak,31
Katarzyna,Gruchot,42
Leon,Kotynia,39
Monika,Mierzyński,65
Natalia,Albrecht,65
Paweł,Jakóbczak,55
Grzegorz,Staś,60
Oliwia,Makowiecki,67
Anna,Gawron,64
Jolanta,Zagrodzki,48
Marek,Maziarz,52
Tomasz,Okrasa,45
Piotr,Talaga,33
Anna,Brożek,59
Jolanta,Lesiuk,56
Ewelina,Niewiadomski,64
Daniel,Podgórski,26
Mateusz,Sikora,65
Andrzej,Ćwiek,40
Jacek,Wojewoda,34
Magdalena,Pawiński,26
Edward,Gruchała,39
Bogusław,Dyga,25
Cezary,Kluba,28
Dominik,Świeboda,21
Eugeniusz,Boruch,63
Piotr,Grochocki,51
Przemysław,Wojtczak,28
Jacek,Kałużyński,39
Ilona,Łagowski,42
Katarzyna,Fąfara,59
Leon,Koperski,44
Monika,Drozdek,23
Natalia,Siwak,59
Paweł,Białkowski,21
Grzegorz,Tokarski,66
Oliwia,Gaik,63
Adam,Wąsik,23
Janusz,Łach,25
Krzysztof,Kępiński,54
Anna,Jacek,67
Jolanta,Gajek,57
Marek,Drążkowski,46
Tomasz,Baczyński,58
Piotr,Zakrzewski,69
Anna,Bednarek,69
Jolanta,Majchrowicz,56
Ewelina,Szabat,54
Daniel,Matusz,38
Mateusz,Skorupka,70
Andrzej,Przybył,21
Jacek,Matulewicz,24
Magdalena,Gałczyński,30
Edward,Twardowski,33
Bogusław,Jucha,43
Cezary,Staniek,47
Dominik,Sawicki,34
Eugeniusz,Kubiński,60
Honorata,Janek,50
Przemysław,Bogacz,39
Jacek,Woźniakowski,59
Ilona,Wichrowski,57
Katarzyna,Dubiel,31
Grzegorz,Soszyński,54
Monika,Frączek,39
Natalia,Rojek,35
Paweł,Kus,39
Grzegorz,Żukowski,46
Oliwia,Kondratowicz,33
Anna,Nowaczyk,29
Jolanta,Kupiński,47
Marek,Marchewka,59
Tomasz,Bystrzycki,30
Piotr,Lizak,45
Anna,Chłopek,55
Jolanta,Krakowiak,46
Ewelina,Kaźmierczak,32
Daniel,Marcinkiewicz,62
Mateusz,Gaj,68
Andrzej,Wrona,56
Jacek,Bartoszewski,29
Magdalena,Świstak,48
Edward,Kalbarczyk,32
